epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,31.8467,0.07617,1,1,0.0118,0.000379743,0.000379743,0.000379743
80,32.2518,0.07753,1,1,0.01227,0.000363239,0.000363239,0.000363239
81,32.6748,0.04646,1,1,0.01123,0.000346736,0.000346736,0.000346736
82,33.0877,0.07236,1,1,0.0078,0.000330233,0.000330233,0.000330233
83,33.6273,0.03261,1,1,0.01582,0.000313729,0.000313729,0.000313729
84,34.0624,0.01718,1,1,0.00734,0.000297226,0.000297226,0.000297226
85,34.5049,0.03935,1,1,0.01021,0.000280723,0.000280723,0.000280723
86,35.0263,0.0253,1,1,0.00922,0.00026422,0.00026422,0.00026422
87,35.5983,0.06178,1,1,0.01084,0.000247716,0.000247716,0.000247716
88,36.0753,0.01716,1,1,0.00674,0.000231213,0.000231213,0.000231213
89,36.527,0.07432,1,1,0.00528,0.00021471,0.00021471,0.00021471
90,36.998,0.05505,1,1,0.00749,0.000198206,0.000198206,0.000198206
91,37.4371,0.02585,1,1,0.00391,0.000181703,0.000181703,0.000181703
92,37.9183,0.04087,1,1,0.00388,0.0001652,0.0001652,0.0001652
93,38.3443,0.015,1,1,0.00602,0.000148696,0.000148696,0.000148696
94,38.7839,0.03404,1,1,0.01128,0.000132193,0.000132193,0.000132193
95,39.257,0.11962,1,1,0.00841,0.00011569,0.00011569,0.00011569
96,39.711,0.05106,1,1,0.00354,9.91865e-05,9.91865e-05,9.91865e-05
97,40.1316,0.01646,1,1,0.00733,8.26832e-05,8.26832e-05,8.26832e-05
98,40.5392,0.00599,1,1,0.00646,6.61799e-05,6.61799e-05,6.61799e-05
99,40.9517,0.0112,1,1,0.00352,4.96766e-05,4.96766e-05,4.96766e-05
100,41.3812,0.01939,1,1,0.00422,3.31733e-05,3.31733e-05,3.31733e-05
