epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.426756,0.79561,0.33333,1,0.94554,6.668e-05,6.668e-05,6.668e-05
2,0.875147,0.74395,0.375,1,0.79557,0.000145079,0.000145079,0.000145079
3,1.33926,0.56315,0.66667,1,0.65678,0.000217977,0.000217977,0.000217977
4,1.80182,0.49309,0.75,1,0.56719,0.000285374,0.000285374,0.000285374
5,2.23586,0.44898,0.83333,1,0.46909,0.000347269,0.000347269,0.000347269
6,2.6233,0.38797,0.83333,1,0.40417,0.000403664,0.000403664,0.000403664
7,3.042,0.35884,0.875,1,0.30007,0.000454558,0.000454558,0.000454558
8,3.48013,0.32217,0.91667,1,0.26492,0.00049995,0.00049995,0.00049995
9,3.90708,0.26378,0.95833,1,0.20237,0.000539841,0.000539841,0.000539841
10,4.37222,0.2507,1,1,0.18573,0.000574231,0.000574231,0.000574231
11,4.78446,0.21027,0.95833,1,0.15895,0.000603121,0.000603121,0.000603121
12,5.24397,0.21622,0.95833,1,0.14185,0.000626509,0.000626509,0.000626509
13,5.63941,0.20348,0.95833,1,0.12028,0.000644396,0.000644396,0.000644396
14,6.06695,0.23751,1,1,0.09423,0.000656781,0.000656781,0.000656781
15,6.48803,0.23029,0.95833,1,0.10293,0.000663666,0.000663666,0.000663666
16,6.89923,0.18768,0.95833,1,0.11744,0.00066505,0.00066505,0.00066505
17,7.31833,0.24013,0.95833,1,0.11028,0.000660932,0.000660932,0.000660932
18,7.73095,0.17508,0.95833,1,0.08951,0.000651314,0.000651314,0.000651314
19,8.22033,0.15208,0.95833,1,0.09082,0.000636194,0.000636194,0.000636194
20,8.66666,0.15461,1,1,0.04652,0.000615573,0.000615573,0.000615573
21,9.0667,0.10502,1,1,0.04064,0.00056678,0.00056678,0.00056678
22,9.46956,0.14564,1,1,0.04247,0.000511769,0.000511769,0.000511769
23,9.87312,0.16966,1,1,0.04445,0.000456758,0.000456758,0.000456758
24,10.297,0.07244,1,1,0.02651,0.000401747,0.000401747,0.000401747
25,10.6854,0.1577,1,1,0.02543,0.000346736,0.000346736,0.000346736
26,11.0786,0.09729,1,1,0.02422,0.000291725,0.000291725,0.000291725
27,11.4681,0.06676,1,1,0.02958,0.000236714,0.000236714,0.000236714
28,11.9004,0.08721,1,1,0.026,0.000181703,0.000181703,0.000181703
29,12.3094,0.08703,1,1,0.02514,0.000126692,0.000126692,0.000126692
30,12.7336,0.15995,1,1,0.02501,7.1681e-05,7.1681e-05,7.1681e-05
