epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9512,0.83987,3.36791,1.23436,0.03794,1,0.52925,0.46639,0.49478,3.40868,0.85623,0.00028886,0.00028886,0.00028886
2,53.2604,0.72971,2.04799,1.09599,0.955,0.5,0.82184,0.66485,0.52323,2.85448,0.87392,0.000572175,0.000572175,0.000572175
3,74.7744,0.7253,1.67916,1.05046,0.96301,0.5,0.96639,0.8317,0.52734,2.41607,0.91682,0.000838519,0.000838519,0.000838519
4,100.478,0.73819,1.48436,1.02844,0.89826,0.93211,0.995,0.87843,0.5468,1.9783,0.92115,0.00101672,0.00101672,0.00101672
5,129.11,0.72917,1.63707,1.08367,0.99352,1,0.995,0.84126,0.58677,1.12325,0.98609,0.000985298,0.000985298,0.000985298
6,157.217,0.7135,1.41262,1.04506,0.96912,0.99621,0.995,0.87219,0.48872,1.17164,0.91694,0.000953873,0.000953873,0.000953873
7,189.474,0.64128,1.32828,1.00202,0.96674,0.90991,0.92937,0.8123,0.5271,1.25735,0.9273,0.000922447,0.000922447,0.000922447
8,249.179,0.68688,1.30796,1.07619,0.98246,0.99779,0.995,0.86074,0.50496,1.0635,0.92257,0.000891022,0.000891022,0.000891022
9,286.14,0.64664,1.25465,1.01168,0.96394,0.98873,0.995,0.87278,0.52157,1.1603,0.91992,0.000859597,0.000859597,0.000859597
10,318.46,0.6548,1.22485,1.03744,0.9894,1,0.995,0.89257,0.5015,0.95246,0.91907,0.000828171,0.000828171,0.000828171
11,350.787,0.57986,1.09981,0.97827,0.99449,1,0.995,0.88473,0.4796,0.82124,0.90352,0.000796746,0.000796746,0.000796746
12,386.825,0.58839,1.05858,0.9873,0.99188,0.99677,0.995,0.8784,0.44141,0.86677,0.87713,0.00076532,0.00076532,0.00076532
13,503.324,0.56159,1.09082,0.97068,0.99306,0.99768,0.995,0.90399,0.43458,0.887,0.87627,0.000733895,0.000733895,0.000733895
14,540.381,0.56393,1.03529,0.97932,0.95239,0.98229,0.995,0.88972,0.43447,1.05113,0.87609,0.000702469,0.000702469,0.000702469
15,576.619,0.6069,1.01819,1.01074,0.99636,1,0.995,0.89357,0.46214,0.7724,0.89353,0.000671044,0.000671044,0.000671044
16,625.778,0.55986,0.95786,0.96901,0.9681,0.79167,0.79031,0.71303,0.41825,0.91478,0.86866,0.000639619,0.000639619,0.000639619
17,679.526,0.5823,0.97628,0.96629,0.99315,0.86957,0.86574,0.7654,0.50562,0.75086,0.91289,0.000608193,0.000608193,0.000608193
18,736.109,0.56225,0.95692,0.97059,0.99502,1,0.995,0.91254,0.4476,0.769,0.89177,0.000576768,0.000576768,0.000576768
19,791.594,0.55693,0.87633,0.96974,0.98979,1,0.995,0.90452,0.4514,0.74761,0.88704,0.000545342,0.000545342,0.000545342
20,852.481,0.51637,0.85074,0.94751,0.98502,0.75,0.74533,0.65781,0.43247,0.71054,0.87495,0.000513917,0.000513917,0.000513917
21,910.445,0.52768,0.84704,0.94364,0.99298,0.80797,0.81071,0.71736,0.43591,0.66898,0.86578,0.000482491,0.000482491,0.000482491
22,971.238,0.48235,0.7878,0.9186,0.98417,0.70471,0.70583,0.63382,0.40363,0.71324,0.85636,0.000451066,0.000451066,0.000451066
23,1038.93,0.50188,0.79665,0.94966,0.99299,0.93478,0.93033,0.85242,0.38527,0.62901,0.85872,0.000419641,0.000419641,0.000419641
24,1106.58,0.51066,0.77103,0.93778,0.99078,0.49094,0.49183,0.43401,0.42261,0.6127,0.87724,0.000388215,0.000388215,0.000388215
25,1178.85,0.46162,0.81523,0.93341,0.97529,0.47101,0.47207,0.43054,0.42519,0.64859,0.87638,0.00035679,0.00035679,0.00035679
26,1261.51,0.38851,0.93268,0.84703,0.96638,0.32246,0.32325,0.30192,0.44294,0.6178,0.88371,0.000325364,0.000325364,0.000325364
27,1344.41,0.37573,0.89383,0.85398,0.96333,0.23551,0.23933,0.22421,0.45059,0.60368,0.87739,0.000293939,0.000293939,0.000293939
28,1429.39,0.37363,0.87111,0.83324,0.95149,0.32246,0.32327,0.29493,0.46006,0.62543,0.87881,0.000262513,0.000262513,0.000262513
29,1510.44,0.37378,0.82992,0.84373,0.94266,0.32065,0.32327,0.29753,0.43264,0.60321,0.86969,0.000231088,0.000231088,0.000231088
30,1598.48,0.37187,0.83995,0.84487,0.93051,0.27899,0.28325,0.262,0.40838,0.57658,0.86293,0.000199663,0.000199663,0.000199663
31,1688.64,0.3528,0.8304,0.85909,0.94942,0.27899,0.28304,0.26266,0.40748,0.53635,0.86105,0.000168237,0.000168237,0.000168237
32,1771.59,0.34734,0.8585,0.84253,0.95252,0.32246,0.32265,0.30449,0.40811,0.52909,0.86006,0.000136812,0.000136812,0.000136812
33,1867.84,0.34297,0.74203,0.83881,0.96473,0.34058,0.34305,0.32069,0.40093,0.528,0.85655,0.000105386,0.000105386,0.000105386
34,1969.47,0.33686,0.77345,0.82834,0.91301,0.19384,0.19875,0.1888,0.40033,0.5273,0.85611,7.39609e-05,7.39609e-05,7.39609e-05
35,2068.88,0.33397,0.74266,0.82061,0.95349,0.30072,0.30279,0.28048,0.40184,0.52383,0.85575,4.25354e-05,4.25354e-05,4.25354e-05
