epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1609.87,0.53903,0.39732,0.96447,0.99564,1,0.995,0.87851,0.48583,0.27452,0.82364,0.000665057,0.000665057,0.000665057
29,1664.59,0.54519,0.4049,0.9654,0.99182,1,0.995,0.91348,0.45313,0.26176,0.8201,0.000636762,0.000636762,0.000636762
30,1716.3,0.54182,0.42251,0.98211,0.99661,1,0.995,0.904,0.45192,0.2636,0.81901,0.000608468,0.000608468,0.000608468
31,1768.19,0.53801,0.39717,0.95679,0.99495,1,0.995,0.90187,0.44912,0.25636,0.82274,0.000580174,0.000580174,0.000580174
32,1820.21,0.54123,0.40747,0.97047,0.99518,1,0.995,0.91012,0.42972,0.24816,0.81167,0.00055188,0.00055188,0.00055188
33,1872.4,0.4947,0.35983,0.95112,0.99555,1,0.995,0.92869,0.40165,0.24182,0.80953,0.000523586,0.000523586,0.000523586
34,1924.41,0.50616,0.35655,0.96216,0.99532,1,0.995,0.89641,0.45571,0.23636,0.81927,0.000495291,0.000495291,0.000495291
35,1976.6,0.51322,0.36116,0.95747,0.99625,1,0.995,0.903,0.45394,0.2339,0.81617,0.000466997,0.000466997,0.000466997
36,2028.85,0.53761,0.37575,0.94804,0.99495,1,0.995,0.91716,0.41414,0.21348,0.81139,0.000438703,0.000438703,0.000438703
37,2080.38,0.46422,0.31794,0.92315,0.99698,1,0.995,0.90754,0.44673,0.22099,0.82432,0.000410409,0.000410409,0.000410409
38,2131,0.46652,0.34385,0.93219,0.99562,1,0.995,0.92242,0.42701,0.22366,0.81169,0.000382115,0.000382115,0.000382115
39,2181.51,0.47199,0.33325,0.93871,0.99565,1,0.995,0.92865,0.4028,0.20882,0.81181,0.00035382,0.00035382,0.00035382
40,2231.55,0.4684,0.32083,0.95295,0.99497,1,0.995,0.90445,0.44294,0.2131,0.81942,0.000325526,0.000325526,0.000325526
41,2280.74,0.37663,0.27884,0.89769,0.99513,1,0.995,0.9121,0.43838,0.23193,0.81986,0.000297232,0.000297232,0.000297232
42,2331.16,0.37491,0.26568,0.86953,0.99628,1,0.995,0.91809,0.47255,0.23728,0.82649,0.000268938,0.000268938,0.000268938
43,2380.33,0.37901,0.2561,0.87135,0.99646,1,0.995,0.91785,0.40592,0.20785,0.818,0.000240644,0.000240644,0.000240644
44,2429.78,0.35267,0.23767,0.86226,0.9957,1,0.995,0.93447,0.40654,0.20395,0.81241,0.000212349,0.000212349,0.000212349
45,2479.45,0.3629,0.23728,0.86661,0.99623,1,0.995,0.922,0.40237,0.21611,0.81563,0.000184055,0.000184055,0.000184055
46,2528.75,0.3426,0.22357,0.85363,0.99545,1,0.995,0.9165,0.39872,0.22339,0.81196,0.000155761,0.000155761,0.000155761
47,2578.12,0.34571,0.23346,0.84787,0.99499,1,0.995,0.9367,0.38191,0.19645,0.81236,0.000127467,0.000127467,0.000127467
48,2627.24,0.33869,0.22472,0.85742,0.9951,1,0.995,0.91491,0.40468,0.20161,0.81611,9.91726e-05,9.91726e-05,9.91726e-05
49,2676.4,0.32349,0.21435,0.8477,0.99614,1,0.995,0.91761,0.40327,0.19993,0.81196,7.08784e-05,7.08784e-05,7.08784e-05
50,2725.35,0.32678,0.21687,0.85675,0.99604,1,0.995,0.92433,0.404,0.19228,0.81463,4.25842e-05,4.25842e-05,4.25842e-05
