epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9305,0.97146,2.52831,1.31051,0.99067,0.63742,0.995,0.78772,0.6777,2.23336,0.86229,0.000465748,0.000465748,0.000465748
2,104.662,0.85302,1.47353,1.15677,0.93385,0.78321,0.9881,0.83088,0.68787,1.36819,0.87367,0.000923428,0.000923428,0.000923428
3,155.743,0.84885,1.29364,1.14141,0.96493,0.98139,0.995,0.83763,0.62009,1.01638,0.85673,0.00136225,0.00136225,0.00136225
4,207.368,0.87239,1.19731,1.14116,0.97969,0.99763,0.9876,0.78092,0.82751,0.9401,0.90791,0.00134412,0.00134412,0.00134412
5,258.611,0.84346,1.01831,1.12172,0.99573,1,0.995,0.86272,0.53858,0.72217,0.84292,0.00131582,0.00131582,0.00131582
6,309.95,0.82356,0.92132,1.11553,0.99039,1,0.995,0.85325,0.49014,0.65953,0.84083,0.00128753,0.00128753,0.00128753
7,361.439,0.80727,0.85765,1.08898,0.98592,1,0.995,0.87036,0.50634,0.62919,0.83239,0.00125923,0.00125923,0.00125923
8,412.733,0.78713,0.79545,1.08093,0.98505,1,0.995,0.87651,0.5839,0.49732,0.8422,0.00123094,0.00123094,0.00123094
9,464.149,0.76799,0.77143,1.09079,0.99467,1,0.995,0.85554,0.58295,0.51077,0.84543,0.00120265,0.00120265,0.00120265
10,515.785,0.72738,0.6886,1.03139,0.99414,1,0.995,0.87298,0.5401,0.46396,0.8346,0.00117435,0.00117435,0.00117435
11,575.916,0.73707,0.69552,1.06669,0.86298,0.96533,0.995,0.89194,0.51779,0.53149,0.82813,0.00114606,0.00114606,0.00114606
12,632.861,0.72093,0.62196,1.04082,0.99381,1,0.995,0.88297,0.43982,0.40614,0.82252,0.00111776,0.00111776,0.00111776
13,690.862,0.71286,0.66517,1.05539,0.99601,1,0.995,0.88373,0.51492,0.36929,0.83115,0.00108947,0.00108947,0.00108947
14,750.803,0.69834,0.59398,1.02234,0.99048,1,0.995,0.88623,0.5049,0.39805,0.83141,0.00106118,0.00106118,0.00106118
15,811.081,0.68307,0.55215,1.03596,0.99444,1,0.995,0.85962,0.554,0.4201,0.84344,0.00103288,0.00103288,0.00103288
16,873.53,0.67917,0.53869,1.01943,0.995,1,0.995,0.89128,0.44959,0.34491,0.81859,0.00100459,0.00100459,0.00100459
17,937.111,0.66532,0.52859,1.03643,0.99198,1,0.995,0.88916,0.44878,0.30392,0.81975,0.000976293,0.000976293,0.000976293
18,998.015,0.65143,0.52458,1.02717,0.99522,1,0.995,0.88482,0.44333,0.28853,0.81877,0.000947999,0.000947999,0.000947999
19,1060.86,0.65062,0.52521,1.02761,0.99599,1,0.995,0.91554,0.43794,0.30629,0.82197,0.000919704,0.000919704,0.000919704
20,1117.95,0.60819,0.49701,0.99701,0.99454,1,0.995,0.90702,0.43184,0.30135,0.81769,0.00089141,0.00089141,0.00089141
21,1177.33,0.61268,0.4822,0.99813,0.99492,1,0.995,0.90982,0.42522,0.2925,0.81992,0.000863116,0.000863116,0.000863116
22,1242.26,0.59883,0.48074,1.00192,0.99373,1,0.995,0.87278,0.50014,0.2981,0.83071,0.000834822,0.000834822,0.000834822
23,1307.21,0.6197,0.49037,1.00694,0.9943,1,0.995,0.89982,0.41702,0.25546,0.81225,0.000806528,0.000806528,0.000806528
24,1374,0.58642,0.43852,0.99052,0.99538,1,0.995,0.88965,0.45436,0.27929,0.82425,0.000778233,0.000778233,0.000778233
25,1433.23,0.57812,0.41258,0.97365,0.99626,1,0.995,0.92112,0.36309,0.2557,0.80674,0.000749939,0.000749939,0.000749939
26,1492.61,0.54397,0.39965,0.96605,0.99622,1,0.995,0.88285,0.46071,0.25355,0.81965,0.000721645,0.000721645,0.000721645
27,1551.81,0.53208,0.40071,0.96363,0.99546,1,0.995,0.90657,0.48265,0.25482,0.82385,0.000693351,0.000693351,0.000693351
